id,title,type,release_year,age_certification,genres,imdb_score,tmdb_score,stream
tm47530,Jeans,MOVIE,1998,,"['comedy', 'drama', 'romance']",6.4,6.5,1
tm57169,Monty Python: Live at Aspen,MOVIE,1998,,"['comedy', 'documentation']",7.8,6.9,1
tm192301,Minsara Kanavu,MOVIE,1997,G,"['comedy', 'romance', 'drama']",6.7,6.6,1
tm58893,Duplicate,MOVIE,1998,PG,"['comedy', 'action', 'crime', 'thriller']",5.5,6.0,1
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,"['drama', 'comedy']",7.9,7.5,1
tm118438,Anjaam,MOVIE,1994,,"['romance', 'crime', 'thriller', 'drama']",6.6,7.1,1
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,"['drama', 'sport']",7.2,5.1,1
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,"['comedy', 'romance', 'drama']",6.1,6.6,1
tm203186,Children of Shatila,MOVIE,1999,,"['documentation', 'history']",8.1,6.7,1
tm128073,Bill Hicks: Relentless,MOVIE,1992,,['comedy'],,7.8,1
tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,"['comedy', 'documentation']",6.0,7.0,1
tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,['comedy'],,7.5,1
tm52083,West Beirut,MOVIE,1998,PG-13,"['romance', 'drama', 'comedy', 'war', 'european']",7.6,7.3,1
tm340430,Govindha Govindha,MOVIE,1993,,"['drama', 'action', 'crime']",6.6,4.0,1
tm7032,Out of Life,MOVIE,1991,,"['drama', 'war', 'crime', 'european']",6.9,6.2,1
tm256669,Gumrah,MOVIE,1993,,"['drama', 'action', 'crime', 'thriller']",6.1,6.7,1
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,,"['comedy', 'documentation']",6.3,5.2,1
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,"['comedy', 'documentation']",7.8,5.5,1
tm25389,Fiza,MOVIE,2000,,"['romance', 'action', 'crime', 'drama', 'thriller']",6.0,6.3,1
tm34391,Before the Flying Circus,MOVIE,2000,,"['comedy', 'documentation']",7.3,8.5,1
tm44776,The Other,MOVIE,1999,,"['romance', 'european', 'drama']",5.9,5.9,1
tm334788,Yodha,MOVIE,1991,,"['action', 'drama']",4.5,5.0,1
tm117840,The Emigrant,MOVIE,1994,,['drama'],6.5,6.0,1
tm42397,Hello Brother,MOVIE,1999,,"['comedy', 'romance', 'fantasy', 'action']",4.6,5.3,1
tm314602,Dushmani,MOVIE,1995,,"['romance', 'action', 'drama']",5.0,7.5,1
tm255589,One Last Shot,MOVIE,1998,,[],,5.2,1
tm7810,Nightmare in Columbia County,MOVIE,1991,,"['drama', 'thriller', 'crime']",5.5,6.0,1
tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,,['drama'],,7.6,1
tm449775,Shikari,MOVIE,1991,,"['drama', 'action']",5.8,5.0,1
ts4,Breaking Bad,SHOW,2008,TV-MA,"['drama', 'crime', 'thriller']",9.5,8.79,1
ts20371,Top Gear,SHOW,2002,TV-PG,"['comedy', 'reality', 'european', 'music']",8.7,7.4,1
ts9,The Walking Dead,SHOW,2010,TV-MA,"['action', 'drama', 'scifi', 'horror', 'thriller']",8.2,8.1,1
ts21465,Supernatural,SHOW,2005,TV-14,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",8.4,8.278,1
tm74402,The Mist,MOVIE,2007,R,"['horror', 'scifi', 'thriller']",7.1,6.9,1
tm91952,Mean Girls,MOVIE,2004,PG-13,['comedy'],7.1,7.2,1
ts288536,The Great British Baking Show,SHOW,2010,TV-PG,"['reality', 'european']",8.6,7.7,1
ts12724,30 Rock,SHOW,2006,TV-14,"['comedy', 'sport']",8.3,7.4,1
ts6644,Borgen,SHOW,2010,TV-MA,"['drama', 'european']",8.5,8.1,1
ts8308,Community,SHOW,2009,TV-PG,['comedy'],8.5,8.0,1
tm111828,Catch Me If You Can,MOVIE,2002,PG-13,"['drama', 'crime']",8.1,8.0,1
ts21469,Grey's Anatomy,SHOW,2005,TV-14,"['drama', 'romance']",7.6,8.252,1
ts17156,Arrested Development,SHOW,2003,TV-MA,['comedy'],8.7,8.043,1
ts22011,Heartland,SHOW,2007,TV-PG,"['drama', 'family']",8.4,8.3,1
ts26091,The Staircase,SHOW,2004,TV-MA,"['crime', 'documentation', 'drama']",7.8,7.7,1
tm150112,Old School,MOVIE,2003,R,"['comedy', 'european']",7.0,6.577,1
ts22337,NCIS,SHOW,2003,TV-14,"['crime', 'action', 'thriller', 'drama', 'comedy']",7.8,7.6,1
ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,"['scifi', 'animation', 'action', 'family', 'fantasy']",9.3,8.7,1
tm80906,Anchorman: The Legend of Ron Burgundy,MOVIE,2004,PG-13,['comedy'],7.1,6.7,1
ts20604,Friday Night Lights,SHOW,2006,TV-14,"['drama', 'sport']",8.7,8.1,1
ts20573,The IT Crowd,SHOW,2006,TV-14,"['comedy', 'european']",8.5,8.108,1
tm92641,Inception,MOVIE,2010,PG-13,"['action', 'scifi', 'music', 'thriller']",8.8,8.4,1
ts22099,The Spectacular Spider-Man,SHOW,2008,TV-Y7,"['action', 'animation', 'family', 'scifi', 'comedy']",8.3,8.705,1
tm27911,The Departed,MOVIE,2006,R,"['drama', 'thriller', 'crime', 'action']",8.5,8.2,1
ts21464,Zoey 101,SHOW,2005,TV-G,"['drama', 'comedy', 'family', 'romance']",6.1,8.2,1
tm88465,Insidious,MOVIE,2010,PG-13,"['horror', 'thriller']",6.8,6.929,1
tm172683,War of the Worlds,MOVIE,2005,PG-13,"['action', 'thriller', 'scifi']",6.5,6.474,1
ts11313,DEATH NOTE,SHOW,2006,TV-14,"['animation', 'thriller', 'scifi', 'drama', 'fantasy', 'crime']",9.0,8.664,1
ts21247,The Vampire Diaries,SHOW,2009,TV-14,"['drama', 'scifi', 'horror', 'romance', 'thriller', 'fantasy']",7.7,8.348,1
ts20305,Naruto,SHOW,2002,TV-PG,"['animation', 'action', 'scifi', 'comedy', 'fantasy', 'thriller']",8.4,8.363,1
tm42877,Wanted,MOVIE,2008,R,"['action', 'thriller', 'crime', 'fantasy']",6.7,6.5,1
tm39030,Casino Royale,MOVIE,2006,,"['action', 'thriller', 'european']",8.0,7.518,1
ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,"['comedy', 'scifi', 'animation', 'fantasy', 'family', 'drama', 'music']",7.6,8.1,1
tm997728,Blade Runner: The Final Cut,MOVIE,2007,R,"['action', 'thriller', 'scifi']",,9.0,1
ts17942,Chappelle's Show,SHOW,2003,TV-14,"['comedy', 'music']",8.8,8.1,1
tm89677,The Terminal,MOVIE,2004,PG-13,"['drama', 'comedy', 'romance']",7.4,7.3,1
tm78592,Michael Clayton,MOVIE,2007,R,"['thriller', 'drama', 'crime']",7.2,6.7,1
tm105329,Road to Perdition,MOVIE,2002,R,"['thriller', 'documentation', 'drama', 'crime']",7.7,7.4,1
ts30311,Victorious,SHOW,2010,TV-G,"['comedy', 'family', 'drama', 'music', 'romance', 'sport']",6.9,8.221,1
tm139658,Big Fish,MOVIE,2003,PG-13,"['action', 'fantasy', 'drama', 'romance']",8.0,7.769,1
tm26327,The Hurt Locker,MOVIE,2008,R,"['thriller', 'drama', 'war']",7.5,7.3,1
tm95477,Troy,MOVIE,2004,R,"['action', 'history', 'war', 'drama', 'european']",7.3,7.1,1
tm154187,Sherlock Holmes,MOVIE,2009,PG-13,"['crime', 'thriller', 'action']",7.6,7.2,1
ts22267,Trailer Park Boys,SHOW,2001,TV-MA,"['comedy', 'crime']",8.6,8.0,1
tm133767,Love Actually,MOVIE,2003,R,"['drama', 'comedy', 'romance']",7.6,7.1,1
ts2230,America's Next Top Model,SHOW,2003,TV-14,['reality'],5.6,5.3,1
tm45454,Get Smart,MOVIE,2008,PG-13,"['comedy', 'thriller', 'action']",6.5,6.2,1
tm26897,Quantum of Solace,MOVIE,2008,PG-13,"['thriller', 'action']",6.6,6.304,1
tm133374,The Blind Side,MOVIE,2009,PG-13,"['drama', 'sport']",7.6,7.661,1
tm195620,Apocalypse Now Redux,MOVIE,2001,R,"['drama', 'war', 'horror', 'thriller']",,9.8,1
tm136808,Identity,MOVIE,2003,R,['thriller'],7.3,7.181,1
tm70807,I Am Legend,MOVIE,2007,PG-13,"['scifi', 'thriller', 'action', 'drama']",7.2,7.192,1
