sa_id,p_id,sa_netflix,sa_hulu,sa_primevid,sa_disney
720,tm38064,1,0,0,0
721,tm182125,1,0,0,0
722,ts55532,1,0,0,0
723,tm57436,1,0,0,0
724,tm72251,1,0,0,0
725,tm53625,1,0,0,0
726,ts191698,1,0,0,0
727,ts45996,1,0,0,0
728,tm160361,1,0,0,0
729,tm34331,1,0,0,0
730,tm183039,1,0,0,0
731,ts35426,1,0,0,0
732,ts58528,1,0,0,0
733,tm177258,1,0,0,0
734,tm174190,1,0,0,0
735,tm68436,1,0,0,0
736,tm65765,1,0,0,0
737,tm179451,1,0,0,0
738,tm177044,1,0,0,0
739,tm49451,1,0,0,0
740,tm1096916,1,0,0,0
741,tm176128,1,0,0,0
742,tm67444,1,0,0,0
743,tm183176,1,0,0,0
744,tm40860,1,0,0,0
745,tm35700,1,0,0,0
746,tm170395,1,0,0,0
747,tm169053,1,0,0,0
748,tm53395,1,0,0,0
749,tm183037,1,0,0,0
750,tm177958,1,0,0,0
751,ts6879,1,0,0,0
752,tm178106,1,0,0,0
753,tm57610,1,0,0,0
754,tm169354,1,0,0,0
755,tm176111,1,0,0,0
756,tm59372,1,0,0,0
757,tm161804,1,0,0,0
758,tm159593,1,0,0,0
759,ts39112,1,0,0,0
760,tm44615,1,0,0,0
761,tm54780,1,0,0,0
762,ts167724,1,0,0,0
763,ts99814,1,0,0,0
764,tm175909,1,0,0,0
765,ts158608,1,0,0,0
766,tm57382,1,0,0,0
767,tm59289,1,0,0,0
768,tm47171,1,0,0,0
769,tm165712,1,0,0,0
770,tm48239,1,0,0,0
771,tm160021,1,0,0,0
772,tm54371,1,0,0,0
773,tm172883,1,0,0,0
774,tm174518,1,0,0,0
775,tm70528,1,0,0,0
776,tm74031,1,0,0,0
777,tm181856,1,0,0,0
778,tm38013,1,0,0,0
779,tm42306,1,0,0,0
780,ts32561,1,0,0,0
781,tm39606,1,0,0,0
782,tm167241,1,0,0,0
783,ts37864,1,0,0,0
784,tm71992,1,0,0,0
785,tm31948,1,0,0,0
786,tm166810,1,0,0,0
787,tm37573,1,0,0,0
788,tm69915,1,0,0,0
789,tm164090,1,0,0,0
790,tm37175,1,0,0,0
791,tm66725,1,0,0,0
792,tm166740,1,0,0,0
793,tm200838,1,0,0,0
794,ts44064,1,0,0,0
795,tm169128,1,0,0,0
796,tm172353,1,0,0,0
797,tm34746,1,0,0,0
798,tm29400,1,0,0,0
799,tm53360,1,0,0,0
800,tm180532,1,0,0,0
801,tm34142,1,0,0,0
802,ts27875,1,0,0,0
803,tm162592,1,0,0,0
804,ts41114,1,0,0,0
805,tm70652,1,0,0,0
806,tm339197,1,0,0,0
807,tm172211,1,0,0,0
808,tm1077038,1,0,0,0
809,tm57256,1,0,0,0
810,tm529723,1,0,0,0
811,ts128422,1,0,0,0
812,tm53829,1,0,0,0
813,tm51412,1,0,0,0
814,tm38331,1,0,0,0
815,tm481620,1,0,0,0
816,tm30278,1,0,0,0
817,tm165932,1,0,0,0
818,tm63368,1,0,0,0
819,tm161632,1,0,0,0
820,tm182026,1,0,0,0
821,tm235979,1,0,0,0
822,tm946846,1,0,0,0
823,tm181366,1,0,0,0
824,tm60213,1,0,0,0
825,tm481509,1,0,0,0
826,tm159623,1,0,0,0
827,ts60663,1,0,0,0
828,tm34646,1,0,0,0
829,ts39465,1,0,0,0
830,ts69208,1,0,0,0
831,tm224577,1,0,0,0
832,tm172504,1,0,0,0
833,ts20110,1,0,0,0
834,ts20837,1,0,0,0
835,ts20682,1,0,0,0
836,ts20824,1,0,0,0
837,ts1639,1,0,0,0
838,ts20351,1,0,0,0
839,ts11188,1,0,0,0
840,tm140389,1,0,0,0
841,ts20248,1,0,0,0
842,tm150928,1,0,0,0
843,tm140877,1,0,0,0
844,ts8146,1,0,0,0
845,tm176864,1,0,0,0
846,tm151663,1,0,0,0
847,ts16045,1,0,0,0
848,tm145655,1,0,0,0
849,tm160621,1,0,0,0
850,ts20292,1,0,0,0
851,tm134967,1,0,0,0
852,tm183523,1,0,0,0
853,ts6,1,0,0,0
854,tm148147,1,0,0,0
855,tm143227,1,0,0,0
856,ts21374,1,0,0,0
857,ts14583,1,0,0,0
858,tm169719,1,0,0,0
859,tm182429,1,0,0,0
860,ts20261,1,0,0,0
861,tm175843,1,0,0,0
862,tm163686,1,0,0,0
863,ts21367,1,0,0,0
864,ts20108,1,0,0,0
865,tm180572,1,0,0,0
866,tm151807,1,0,0,0
867,tm151764,1,0,0,0
868,ts20823,1,0,0,0
869,tm153284,1,0,0,0
870,ts32218,1,0,0,0
871,ts35682,1,0,0,0
872,tm165967,1,0,0,0
873,ts20791,1,0,0,0
874,tm161525,1,0,0,0
875,tm168400,1,0,0,0
876,tm161282,1,0,0,0
877,ts20280,1,0,0,0
878,tm148671,1,0,0,0
879,tm171042,1,0,0,0
880,tm178712,1,0,0,0
881,ts20288,1,0,0,0
882,ts20281,1,0,0,0
883,tm187279,1,0,0,0
884,tm165521,1,0,0,0
885,tm141648,1,0,0,0
886,ts314002,1,0,0,0
887,tm176630,1,0,0,0
888,ts32060,1,0,0,0
889,tm184608,1,0,0,0
890,tm187979,1,0,0,0
891,tm171228,1,0,0,0
892,ts2727,1,0,0,0
893,ts20790,1,0,0,0
894,tm161029,1,0,0,0
895,ts20014,1,0,0,0
896,tm181270,1,0,0,0
897,ts35570,1,0,0,0
898,tm237143,1,0,0,0
899,tm181081,1,0,0,0
900,ts20336,1,0,0,0
901,ts35244,1,0,0,0
902,tm144121,1,0,0,0
903,ts2161,1,0,0,0
904,ts32271,1,0,0,0
905,ts20097,1,0,0,0
906,ts22383,1,0,0,0
907,tm143642,1,0,0,0
908,ts36836,1,0,0,0
909,ts22426,1,0,0,0
910,ts42168,1,0,0,0
911,tm148976,1,0,0,0
912,ts35282,1,0,0,0
913,tm136601,1,0,0,0
914,tm151716,1,0,0,0
915,tm166628,1,0,0,0
916,tm140342,1,0,0,0
917,ts20883,1,0,0,0
918,tm151447,1,0,0,0
919,tm147913,1,0,0,0
920,ts11794,1,0,0,0
